Political Entities,Start,End,Ethnic Group,Language,Religion,Founder,Capital,Present Day Location,Code,Region,Duration (year),Area (thousand km2),Population (million),,Duration,Area,Population,Economics,Military,Culture,Technology,Governance,Social,,Overall
Ilkhanate / 伊儿汗国,1260,1335,Mongol / 蒙古,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Hulegu Khan / 旭烈兀,Tabriz / 大不里士,Tabriz / 大不里士,IRN,West Asia / 西亚,75,3750,25,,C,A,B,A,A,A,B,B,C,,69
Beylik of Menteşe / 门泰谢侯国,1261,1424,Turkoman / 突厥曼,Old Anatolian Turkish / 古土耳其语,Sunni Islam / 伊斯兰教（逊尼派）,Menteşe Bey / 门泰谢贝伊,Milas / 米拉斯,Milas / 米拉斯,TUR,West Asia / 西亚,163,20,0.2,,B,D,D,C,C,C,C,C,C,,37
Grand Principality of Moscow / 莫斯科大公国,1263,1547,Rus' / 罗斯,Old Russian / 古俄语,Eastern Orthodoxy / 基督教（东正教）,Daniel Aleksandrovic / 丹尼尔·亚历山德罗维奇,Moscow / 莫斯科,Moscow / 莫斯科,RUS,East Europe / 东欧,284,2500,10,,A,B,B,A,B,A,C,A,C,,65
Samudera Pasai Sultanate / 苏木都剌国,1267,1521,Acehnese / 亚齐,Old Malay / 古马来语,Sunni Islam / 伊斯兰教（逊尼派）,Malikussaleh / 马利库萨利赫,Pasai / 八昔,Lhokseumawe / 司马威,IDN,Southeast Asia / 东南亚,254,10,0.1,,A,D,D,B,C,A,C,B,C,,49
Ethiopian Empire / 埃塞俄比亚帝国,1270,1974,Amhara / 阿姆哈拉,Amharic / 阿姆哈拉语,Oriental Orthodoxy / 基督教（东方正统教会）,Yekuno Amlak / 耶库诺·阿姆拉克,Gondar / 贡德尔,Gondar / 贡德尔,ETH,East Africa / 东非,704,1222,30,,S,B,A,B,B,A,B,B,C,,66
Yuan / 元,1271,1368,Mongol / 蒙古,Middle Mongol / 中古蒙古语,Mahayana Buddhism / 佛教（大乘佛教）,Kublai Khan / 忽必烈,Khanbaliq / 大都,Beijing / 北京,CHN,East Asia / 东亚,97,13720,110,,C,S,S,A,A,B,C,A,B,,72
Sultanate of Ifat / 伊法特苏丹国,1275,1403,Arab / 阿拉伯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Umar Walasma / 乌马尔·瓦拉斯马,Zeila / 泽拉,Zeila / 泽拉,SOM,East Africa / 东非,128,150,0.4,,B,C,D,C,C,C,C,C,C,,39
Kingdom of Majorca / 马略卡王国,1276,1349,Catalan / 加泰罗尼亚,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,James II / 海梅二世,Palma / 帕尔马,Palma / 帕尔马,ESP,South Europe / 南欧,73,13,0.15,,C,D,D,C,C,B,C,C,C,,39
Principality of Andorra / 安道尔公国,1278,2026,Catalan / 加泰罗尼亚,Catalan / 加泰罗尼亚语,Catholicism / 基督教（天主教）,Pere d'Urtx / 佩尔·杜尔奇,Andorra la Vella / 安道尔城,Andorra la Vella / 安道尔城,AND,South Europe / 南欧,748,0.5,0.09,,S,D,D,C,D,C,C,A,A,,42
Beylik of Eshref / 埃什列夫侯国,1280,1326,Turkoman / 突厥曼,Old Anatolian Turkish / 古土耳其语,Sunni Islam / 伊斯兰教（逊尼派）,Suleyman ibn Eshref / 苏莱曼·伊本·埃什列夫,Beyşehir / 贝伊谢希尔,Beyşehir / 贝伊谢希尔,TUR,West Asia / 西亚,46,10,0.1,,D,D,D,D,C,C,D,C,C,,29
Kingdom of Naples (Anjou) / 那不勒斯王国（安茹王朝）,1282,1442,French / 法兰西,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Charles I / 安茹的查理,Naples / 那不勒斯,Naples / 那不勒斯,ITA,South Europe / 南欧,160,70,3,,B,D,C,C,C,B,C,C,C,,42
Kingdom of Syrmia / 斯雷姆王国,1282,1325,Serb / 塞尔维亚,Church Slavonic / 教会斯拉夫语,Eastern Orthodoxy / 基督教（东正教）,Stefan Dragutin / 斯特凡·德拉古廷,Debrc / 杰布尔茨,Debrc / 杰布尔茨,SRB,South Europe / 南欧,43,30,0.2,,D,D,D,D,D,C,D,C,D,,25
Hanthawaddy Kingdom / 勃固王朝,1287,1552,Mon / 孟,Old Burmese / 古缅甸语,Theravāda Buddhism / 佛教（上座部佛教）,Wareru / 伐丽流,Hanthawaddy / 勃固,Bago / 勃固,MMR,Southeast Asia / 东南亚,265,100,2,,A,C,D,B,B,B,C,B,B,,52
Kingdom of Waalo / 瓦洛王国,1287,1360,Wolof / 沃洛夫,Wolof / 沃洛夫语,Serer Religion / 塞雷尔宗教,Ndiadiane Ndiaye / 恩贾迪亚内·恩贾耶,N'Der / 恩代尔,N'Der / 恩代尔,SEN,West Africa / 西非,73,20,0.1,,C,D,D,C,D,C,D,C,C,,30
Khalji Dynasty / 卡尔吉王朝,1290,1320,Turkic / 突厥,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Jalal ud din Firuz Khalji / 贾拉勒·乌德·丁·卡尔吉,Delhi / 德里,Delhi / 德里,IND,South Asia / 南亚,30,1500,16,,D,B,B,B,A,B,C,B,C,,57
Buganda Kingdom / 布干达王国,1290,1894,Baganda / 巴干达,Luganda / 卢干达语,Baganda Religion / 巴干达宗教,Kato Kintu / 卡托·金图,Mengo / 蒙戈,Kampala / 坎帕拉,UGA,East Africa / 东非,604,60,1.2,,S,D,D,B,B,B,C,A,B,,53
Kingdom of Zamfara / 扎姆法拉王国,1290,1903,Hausa / 豪萨,Hausa / 豪萨语,Sunni Islam / 伊斯兰教（逊尼派）,Dakka I / 达卡一世,Anka / 安卡,Anka / 安卡,NGA,West Africa / 西非,613,60,0.4,,S,D,D,C,C,C,C,C,C,,39
Beylik of Candar / 詹达尔侯国,1291,1461,Turkoman / 突厥曼,Old Anatolian Turkish / 古土耳其语,Sunni Islam / 伊斯兰教（逊尼派）,Yaman Candar /亚曼·詹达尔,Kastamonu / 卡斯塔莫努,Kastamonu / 卡斯塔莫努,TUR,West Asia / 西亚,170,50,0.5,,B,D,D,C,C,B,C,C,C,,40
Republic of San Marino / 圣马力诺共和国,1291,2026,Sammarinese / 圣马力诺,Italian / 意大利语,Catholicism / 基督教（天主教）,Ugolino Baracone / 乌戈利诺·巴拉科内,City of San Marino / 圣马力诺市,City of San Marino / 圣马力诺市,SMR,South Europe / 南欧,735,0.06,0.03,,S,D,D,C,D,C,D,A,A,,39
Majapahit / 满者伯夷,1293,1527,Javanese / 爪哇,Old Javanese / 古爪哇语,Hinduism / 印度教,Raden Wijaya / 罗登·韦查耶,Majapahit / 满者伯夷,Trowulan / 多乌兰,IDN,Southeast Asia / 东南亚,234,1620,2.5,,A,B,D,A,B,A,C,B,B,,60
Lan Na Kingdom / 兰纳王国,1296,1775,Northern Thai / 傣阮,Northern Thai / 北部泰语,Theravāda Buddhism / 佛教（上座部佛教）,Mangrai / 孟莱王,Chiang Mai / 清迈,Chiang Mai / 清迈,THA,Southeast Asia / 东南亚,479,105,0.2,,A,C,D,B,B,B,C,B,C,,51
Beylik of Karasi / 卡拉斯侯国,1296,1357,Turkoman / 突厥曼,Old Anatolian Turkish / 古土耳其语,Sunni Islam / 伊斯兰教（逊尼派）,Karasi Bey / 卡拉斯贝伊,Balıkesir / 巴勒克埃西尔,Balıkesir / 巴勒克埃西尔,TUR,West Asia / 西亚,61,25,0.2,,C,D,D,C,C,C,D,C,C,,33
Myinsaing Kingdom / 敏象王国,1297,1313,Shan / 掸,Old Burmese / 古缅甸语,Theravāda Buddhism / 佛教（上座部佛教）,Athinkhaya / 阿丁克亚,Myinsaing / 敏象,Kyaukse / 皎施,MMR,Southeast Asia / 东南亚,16,80,0.9,,D,D,D,C,C,C,D,C,D,,31
Ottoman Empire / 奥斯曼帝国,1299,1922,Turkish / 土耳其,Ottoman Turkish / 奥斯曼土耳其语,Sunni Islam / 伊斯兰教（逊尼派）,Osman I / 奥斯曼一世,Constantinople / 君士坦丁堡,Istanbul / 伊斯坦布尔,TUR,West Asia / 西亚,623,5200,35,,S,A,A,A,S,A,B,A,B,,80
Kingdom of Singapura / 新加坡王国,1299,1398,Malay / 马来,Old Malay / 古马来语,Hinduism / 印度教,Sang Nila Utama / 桑·尼拉·乌他玛,Singapura / 新加坡,Singapore / 新加坡,SGP,Southeast Asia / 东南亚,99,0.2,0.01,,C,D,D,C,C,C,C,C,C,,36
Purépecha Empire / 普雷佩查帝国,1300,1530,Purépecha / 普雷佩查,Purépecha / 普雷佩查语,Purépecha Polytheism / 普雷佩查多神教,Tariácuri / 塔里亚库里,Tzintzuntzan / 钦聪灿,Tzintzuntzan / 钦聪灿,MEX,Central America / 中美,230,90,1.2,,A,D,D,B,B,B,B,B,C,,52
Beylik of Germiyan / 盖尔米扬侯国,1300,1429,Turkoman / 突厥曼,Old Anatolian Turkish / 古土耳其语,Sunni Islam / 伊斯兰教（逊尼派）,Yakub I / 雅库布一世,Kütahya / 屈塔希亚,Kütahya / 屈塔希亚,TUR,West Asia / 西亚,129,30,0.3,,B,D,D,C,C,B,C,C,C,,40
Beylik of Hamid / 哈米德侯国,1301,1391,Turkoman / 突厥曼,Old Anatolian Turkish / 古土耳其语,Sunni Islam / 伊斯兰教（逊尼派）,Felek al-Din Dündar / 费莱克丁·杜恩达尔,Eğirdir / 埃尔迪尔,Eğirdir / 埃尔迪尔,TUR,West Asia / 西亚,90,35,0.3,,C,D,D,C,C,C,D,C,C,,33
Beylik of Aydin / 艾丁侯国,1308,1426,Turkoman / 突厥曼,Old Anatolian Turkish / 古土耳其语,Sunni Islam / 伊斯兰教（逊尼派）,Muharizalsîn Gazi Mehmed / 穆哈里扎勒辛·穆罕默德,Ayasluğ / 艾亚斯鲁格,Selçuk / 塞尔丘克,TUR,West Asia / 西亚,118,30,0.3,,B,D,D,B,B,B,C,C,C,,46
Jarwanid Dynasty / 贾尔万王朝,1310,1417,Arab / 阿拉伯,Arabic / 阿拉伯语,Shia Islam / 伊斯兰教（什叶派）,Jarwan I bin Nasser al‑Maliki / 贾尔万一世,Qatif / 卡提夫,Qatif / 卡提夫,SAU,West Asia / 西亚,107,10,0.05,,B,D,D,C,C,C,D,C,C,,34
Pinya Kingdom / 彬牙王国,1313,1365,Shan / 掸,Old Burmese / 古缅甸语,Theravāda Buddhism / 佛教（上座部佛教）,Thihathu / 底哈都,Pinya / 彬牙,Inwa / 阿瓦,MMR,Southeast Asia / 东南亚,52,70,0.8,,C,D,D,C,C,C,D,C,C,,33
Muzaffarid Dynasty / 莫扎法尔王朝,1314,1393,Persian / 波斯,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Mubariz al-Din Muhammad / 穆巴里兹丁·穆罕默德,Kerman / 克尔曼,Kerman / 克尔曼,IRN,West Asia / 西亚,79,500,3.5,,C,C,C,B,C,B,C,C,B,,47
Sagaing Kingdom / 实皆王国,1315,1365,Shan / 掸,Old Burmese / 古缅甸语,Theravāda Buddhism / 佛教（上座部佛教）,Saw Yun / 苏云,Sagaing / 实皆,Sagaing / 实皆,MMR,Southeast Asia / 东南亚,50,40,0.4,,C,D,D,C,C,C,D,C,C,,33
Tughlaq Dynasty / 图格鲁克王朝,1320,1413,Turkic / 突厥,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Ghiyath al-Din Tughluq / 加兹·图格鲁克,Delhi / 德里,Delhi / 德里,IND,South Asia / 南亚,93,3200,28,,C,A,B,C,B,B,C,C,C,,52
Beylik of Teke / 泰凯侯国,1321,1423,Turkoman / 突厥曼,Old Anatolian Turkish / 古土耳其语,Sunni Islam / 伊斯兰教（逊尼派）,Yunus ibn Ilyas / 尤努斯·伊本·伊利亚斯,Antalya / 安塔利亚,Antalya / 安塔利亚,TUR,West Asia / 西亚,102,30,0.3,,B,D,D,C,C,C,C,C,C,,37
Principality of Wallachia / 瓦拉几亚公国,1330,1417,Vlach / 弗拉赫,Church Slavonic / 教会斯拉夫语,Eastern Orthodoxy / 基督教（东正教）,Radu Negru / 拉杜·内格鲁,Curtea de Argeș / 阿尔杰什河畔库尔泰亚,Curtea de Argeș / 阿尔杰什河畔库尔泰亚,ROU,South Europe / 南欧,87,75,0.5,,C,D,D,C,B,C,C,B,C,,41
Jalayirid Sultanate / 札剌亦儿王朝,1335,1432,Mongol / 蒙古,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Hasan Buzurg / 谢赫·大哈散王公,Baghdad / 巴格达,Baghdad / 巴格达,IRQ,West Asia / 西亚,97,600,6,,C,C,C,B,C,B,C,C,C,,46
Madurai Sultanate / 马杜赖苏丹国,1335,1378,Turkic / 突厥,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Jalaluddin Ahsan Khan / 贾拉鲁丁·阿赫桑·汗,Madurai / 马杜赖,Madurai / 马杜赖,IND,South Asia / 南亚,43,80,1.2,,D,D,D,C,C,C,C,C,C,,35
Injuid Dynasty / 因朱王朝,1335,1357,Persian / 波斯,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Sharaf al-Din Mahmud Shah / 沙拉夫丁·马哈茂德·沙阿,Shiraz / 设拉子,Shiraz / 设拉子,IRN,West Asia / 西亚,22,220,1.6,,D,C,D,C,C,C,D,C,C,,34
Beylik of Eretna / 埃雷特纳侯国,1335,1381,Uyghur / 维吾尔,Old Anatolian Turkish / 古土耳其语,Sunni Islam / 伊斯兰教（逊尼派）,Ala al-Din Eretna / 阿拉丁·埃雷特纳,Sivas / 锡瓦斯,Sivas / 锡瓦斯,TUR,West Asia / 西亚,46,80,0.6,,D,D,D,C,C,C,D,C,C,,32
Vijayanagara Empire / 毗奢耶那伽罗帝国,1336,1646,Kannadiga / 卡纳达（达罗毗荼）,Kannada / 卡纳达语,Hinduism / 印度教,Harihara I / 诃里诃罗一世,Vijayanagara / 毗奢耶那伽罗城,Hampi / 亨比,IND,South Asia / 南亚,310,600,9,,A,C,C,A,B,A,B,A,B,,65
Muromachi Shogunate / 日本（室町幕府）,1336,1573,Yamato / 大和,Late Middle Japanese / 中世日语,Shinbutsu-shūgō / 神佛习合,Ashikaga Takauji / 足利尊氏,Heian-kyō / 平安京,Kyoto / 京都,JPN,East Asia / 东亚,237,283,9.5,,A,C,C,B,C,B,C,C,C,,48
Beylik of Dulkadir / 杜勒卡迪尔侯国,1337,1522,Turkoman / 突厥曼,Old Anatolian Turkish / 古土耳其语,Sunni Islam / 伊斯兰教（逊尼派）,Zayn al-Din Qaraja / 宰因丁·卡拉贾,Elbistan / 埃尔比斯坦,Elbistan / 埃尔比斯坦,TUR,West Asia / 西亚,185,70,0.6,,B,D,D,C,C,C,C,C,C,,37
Chobanids / 丘拜尼王朝,1338,1357,Mongol / 蒙古,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Hasan Kuchak / 哈桑·库恰克,Tabriz / 大不里士,Tabriz / 大不里士,IRN,West Asia / 西亚,19,400,4,,D,C,C,C,C,C,C,C,C,,39
Principality of Nizhny Novgorod-Suzdal / 下诺夫哥罗德-苏兹达尔大公国,1341,1392,Rus' / 罗斯,Old Russian / 古俄语,Eastern Orthodoxy / 基督教（东正教）,Konstantin Vasilyevich / 康斯坦丁·瓦西里耶维奇,Nizhny Novgorod / 下诺夫哥罗德,Nizhny Novgorod / 下诺夫哥罗德,RUS,East Europe / 东欧,51,150,0.9,,C,C,D,C,C,C,C,C,C,,38
Kingdom of Gampola / 甘波罗王国,1341,1408,Sinhala / 僧伽罗（印度-雅利安）,Sinhala / 僧伽罗语,Theravāda Buddhism / 佛教（上座部佛教）,Bhuvanaikabahu IV / 布瓦奈迦巴胡四世,Gampola / 甘波罗,Gampola / 甘波罗,LKA,South Asia / 南亚,67,8,0.2,,C,D,D,C,C,C,C,C,C,,36
Serbian Empire / 塞尔维亚帝国,1346,1371,Serb / 塞尔维亚,Church Slavonic / 教会斯拉夫语,Eastern Orthodoxy / 基督教（东正教）,Stefan Dušan / 斯特凡·杜尚,Skopje / 斯科普里,Skopje / 斯科普里,MKD,South Europe / 南欧,25,300,2.5,,D,C,D,B,B,A,C,B,C,,51
Moghulistan / 东察合台汗国,1346,1462,Mongol / 蒙古,Chagatai Turkic / 察合台语,Sunni Islam / 伊斯兰教（逊尼派）,Tughlugh Timur / 秃忽鲁帖木儿,Almaliq / 阿力麻里,Huocheng / 霍城,CHN,East Asia / 东亚,116,1200,1,,B,B,D,C,C,C,C,C,C,,41
Principality of Moldavia / 摩尔达维亚公国,1346,1498,Vlach / 弗拉赫,Church Slavonic / 教会斯拉夫语,Eastern Orthodoxy / 基督教（东正教）,Dragoș / 德拉戈什,Iași / 雅西,Iași / 雅西,ROU,South Europe / 南欧,152,80,0.8,,B,D,D,C,C,B,C,C,C,,40
Bahmani Kingdom / 巴赫曼尼苏丹国,1347,1527,Turkic / 突厥,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Ala-ud-Din Bahman Shah / 阿拉丁·哈桑·巴赫曼沙阿,Bidar / 比德尔,Bidar / 比德尔,IND,South Asia / 南亚,180,300,4.5,,B,C,C,B,B,B,C,B,B,,53
Pagaruyung / 帕加鲁永,1347,1833,Minangkabau / 米南佳保,Minangkabau / 米南佳保语,Sunni Islam / 伊斯兰教（逊尼派）,Adityawarman / 阿迭多跋摩,Pagaruyung / 帕加鲁永,Batusangkar / 巴图桑卡尔,IDN,Southeast Asia / 东南亚,486,10,0.1,,A,D,D,C,C,B,C,B,C,,43
Pskov Republic / 普斯科夫共和国,1348,1510,Lithuanian / 立陶宛,Old Russian / 古俄语,Eastern Orthodoxy / 基督教（东正教）,Andrei of Polotsk / 安德烈,Pskov / 普斯科夫,Pskov / 普斯科夫,RUS,East Europe / 东欧,162,55,0.2,,B,D,D,C,C,B,C,B,C,,42
Emirate of Erzincan / 埃尔津詹酋长国,1348,1403,Turkoman / 突厥曼,Old Anatolian Turkish / 古土耳其语,Sunni Islam / 伊斯兰教（逊尼派）,Ghiyath al-Din Ahi Ayna / 吉亚斯丁·阿希·艾纳,Erzincan / 埃尔津詹,Erzincan / 埃尔津詹,TUR,West Asia / 西亚,55,30,0.2,,C,D,D,D,C,C,D,C,C,,30
Afrasiyab Dynasty / 阿弗拉西亚布王朝,1349,1504,Mazandrani / 马赞德兰,Mazandrani / 马赞德兰语,Shia Islam / 伊斯兰教（什叶派）,Kiya Afrasiyab / 基亚·阿弗拉西亚布,Firuzkuh / 菲鲁兹库赫,Firuzkuh / 菲鲁兹库赫,IRN,West Asia / 西亚,155,60,0.5,,B,D,D,C,C,C,C,C,C,,37
Sultanate of Buayan / 布瓦延苏丹国,1350,1905,Maguindanao / 马京达瑙,Maguindanao / 马京达瑙语,Sunni Islam / 伊斯兰教（逊尼派）,Mamu / 马穆,Buayan / 布瓦延,Datu Piang / 大都皮昂,PHL,Southeast Asia / 东南亚,555,6,0.1,,S,D,D,B,C,B,C,B,C,,47
Ayutthaya Kingdom / 阿瑜陀耶王国,1351,1767,Thai / 泰,Old Thai / 古泰语,Theravāda Buddhism / 佛教（上座部佛教）,Utong / 拉玛铁菩提一世（乌通王）,Ayutthaya / 阿瑜陀耶,Ayutthaya / 大城,THA,Southeast Asia / 东南亚,416,500,2.5,,A,C,D,A,B,A,B,B,B,,61
Samma Dynasty / 萨马王朝,1351,1524,Sindhi / 信德（印度-雅利安）,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Jam Unar / 贾姆·乌纳尔,Samanagar / 萨马纳格尔,Thatta / 特达,PAK,South Asia / 南亚,173,140,1.5,,B,C,D,B,B,B,C,B,C,,50
Bengal Sultanate / 孟加拉苏丹国,1352,1576,Turkic / 突厥,Bengali / 孟加拉语,Sunni Islam / 伊斯兰教（逊尼派）,Shamsuddin Ilyas Shah / 沙姆苏丁·伊利亚斯·沙阿,Gaur / 高尔,Mahadipur / 马哈迪普尔,IND,South Asia / 南亚,224,280,10.5,,A,C,B,B,B,B,C,B,B,,56
Kingdom of Lan Xang / 澜沧王国,1353,1707,Lao / 佬,Lao / 老挝语,Theravāda Buddhism / 佛教（上座部佛教）,Fa Ngum / 法昂,Luang Prabang / 琅勃拉邦,Luang Prabang / 琅勃拉邦,LAO,Southeast Asia / 东南亚,354,210,0.4,,A,C,D,C,C,B,C,B,B,,46
Electorate of Saxony / 萨克森选侯国,1356,1806,German / 德意志,Renaissance Latin / 文艺复兴拉丁语,Protestantism / 基督教（新教）,Rudolph I / 鲁道夫一世,Dresden / 德累斯顿,Dresden / 德累斯顿,DEU,Central Europe / 中欧,450,39,2,,A,D,D,B,C,B,B,B,C,,49
Republic of Ragusa / 拉古萨共和国,1358,1808,Dalmatian Italian / 达尔马提亚-意大利,Renaissance Latin / 文艺复兴拉丁语,Catholicism / 基督教（天主教）,Nikša Sorgo / 尼克沙·索尔戈,Ragusa / 拉古萨,Dubrovnik / 杜布罗夫尼克,HRV,South Europe / 南欧,450,2,0.1,,A,D,D,B,C,B,C,B,B,,47
Phagmodrupa / 帕木竹巴,1358,1618,Tibetan / 藏,Tibetic / 藏语,Mahayana Buddhism / 佛教（大乘佛教）,Changchub Gyaltsen / 绛曲坚赞,Phagmodru / 烈伍栋,Nedong / 乃东,CHN,East Asia / 东亚,260,200,0.3,,A,C,D,C,C,B,C,B,C,,45
Jolof Empire / 沃洛夫帝国,1360,1549,Wolof / 沃洛夫,Wolof / 沃洛夫语,Serer Religion / 塞雷尔宗教,Ndiadiane Ndiaye / 恩贾迪亚内·恩贾耶,Warxox / 瓦尔霍霍,Linguère / 林盖尔,SEN,West Africa / 西非,189,220,0.8,,B,C,D,B,B,B,C,B,C,,50
Kingdom of Ava / 阿瓦王朝,1364,1555,Shan / 掸,Old Burmese / 古缅甸语,Theravāda Buddhism / 佛教（上座部佛教）,Thado Minbya / 德多明帕耶,Ava / 阿瓦,Inwa / 阿瓦,MMR,Southeast Asia / 东南亚,191,150,1,,B,C,D,B,B,B,C,B,B,,51
Ming / 明,1368,1644,Han / 汉,Chinese / 汉语,Confucianism / 儒家,Zhu Yuanzhang / 朱元璋,Beijing / 北京,Beijing / 北京,CHN,East Asia / 东亚,276,9970,160,,A,A,S,A,B,A,B,A,A,,76
Sultanate of Brunei / 文莱苏丹国,1368,1888,Malay / 马来,Brunei Malay / 文莱马来语,Sunni Islam / 伊斯兰教（逊尼派）,Muhammad Shah / 马合谟沙,Kota Batu / 哥打巴都,Bandar Seri Begawan / 斯里巴加湾市,BRN,Southeast Asia / 东南亚,520,700,1.5,,S,C,D,B,B,B,C,B,C,,52
Northern Yuan / 北元,1368,1388,Mongol / 蒙古,Middle Mongol / 中古蒙古语,Tengrism / 腾格里教,Toghon Temür / 妥懽贴睦尔,Karakorum / 哈拉和林,Kharkhorin / 哈拉和林,MNG,North Asia / 北亚,20,4500,1.6,,D,A,D,D,C,C,D,C,C,,35
Timurid Empire / 帖木儿帝国,1370,1507,Mongol / 蒙古,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Timur / 帖木儿,Samarkand / 撒马尔罕,Samarkand / 撒马尔罕,UZB,Central Asia / 中亚,137,4400,35,,B,A,A,B,A,A,B,B,B,,70
Kar‑Kiya Dynasty / 卡尔-基亚王朝,1370,1592,Gilak / 吉兰,Gilaki / 吉拉基语,Shia Islam / 伊斯兰教（什叶派）,Sayyed Ali Kiya / 赛义德·阿里·基亚,Lahijan / 拉希詹,Lahijan / 拉希詹,IRN,West Asia / 西亚,222,14,0.2,,A,D,D,C,C,C,C,C,C,,38
Principality of Moravian Serbia / 摩拉维亚塞尔维亚公国,1371,1402,Serb / 塞尔维亚,Church Slavonic / 教会斯拉夫语,Eastern Orthodoxy / 基督教（东正教）,Lazar Hrebeljanović / 拉扎尔·赫雷别利亚诺维奇,Kruševac / 克鲁舍瓦茨,Kruševac / 克鲁舍瓦茨,SRB,South Europe / 南欧,31,60,0.4,,D,D,D,C,C,B,C,C,C,,38
District of Branković / 布兰科维奇领地,1371,1412,Serb / 塞尔维亚,Church Slavonic / 教会斯拉夫语,Eastern Orthodoxy / 基督教（东正教）,Vuk Branković / 武克·布兰科维奇,Vushtrri / 武契特尔恩,Vushtrri / 武契特尔恩,SRB,South Europe / 南欧,41,30,0.2,,D,D,D,C,D,C,D,C,C,,29
Lordship of Prilep / 普里莱普侯国,1371,1395,Serb / 塞尔维亚,Church Slavonic / 教会斯拉夫语,Eastern Orthodoxy / 基督教（东正教）,Marko Mrnjavčević / 马尔科·姆尔尼亚夫切维奇,Prilep / 普里莱普,Prilep / 普里莱普,MKD,South Europe / 南欧,24,15,0.1,,D,D,D,D,D,C,D,C,D,,25
Khanzadas of Mewat / 米瓦特王国,1372,1527,Mewati / 米瓦特（印度-雅利安）,Mewati / 米瓦特语,Sunni Islam / 伊斯兰教（逊尼派）,Nahar Khan / 纳哈尔·汗,Alwar / 阿尔瓦尔,Alwar / 阿尔瓦尔,IND,South Asia / 南亚,155,20,0.3,,B,D,D,C,C,C,C,C,C,,37
Qara Qoyunlu / 黑羊王朝,1374,1468,Turkoman / 突厥曼,Persian / 波斯语,Shia Islam / 伊斯兰教（什叶派）,Bayram Khwaja / 拜拉姆·霍加,Tabriz / 大不里士,Tabriz / 大不里士,IRN,West Asia / 西亚,94,520,4,,C,C,C,B,B,B,C,C,C,,49
Kingdom of Bosnia / 波斯尼亚王国,1377,1463,Bošnjani / 旧波斯尼亚,Medieval Latin / 中世纪拉丁语,Catholicism / 基督教（天主教）,Tvrtko I / 特维科一世,Bobovac / 博博瓦茨,Vareš / 瓦雷什,BIH,South Europe / 南欧,86,90,0.8,,C,D,D,C,B,B,C,C,C,,42
Aq Qoyunlu / 白羊王朝,1378,1508,Turkoman / 突厥曼,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Qara Yuluk Uthman Beg / 卡拉·奥斯曼,Tabriz / 大不里士,Tabriz / 大不里士,IRN,West Asia / 西亚,130,900,6,,B,C,C,B,B,B,C,B,C,,52
Burji Mamluks / 布尔吉王朝（马穆鲁克苏丹国）,1382,1517,Circassian / 切尔克斯,Arabic / 阿拉伯语,Sunni Islam / 伊斯兰教（逊尼派）,Barquq / 巴尔库克,Cairo / 开罗,Cairo / 开罗,EGY,North Africa / 北非,135,2000,7,,B,B,C,C,B,B,C,C,C,,49
Khandesh Sultanate / 坎德什苏丹国,1382,1601,Arab / 阿拉伯,Persian / 波斯语,Sunni Islam / 伊斯兰教（逊尼派）,Malik Raja / 马利克·拉贾,Burhanpur / 布尔汉布尔,Burhanpur / 布尔汉布尔,IND,South Asia / 南亚,219,35,0.9,,A,D,D,B,C,B,C,B,C,,46
Hilaalee Dynasty / 希拉利王朝,1388,1573,Maldivian / 迪维希（印度-雅利安）,Maldivian / 迪维希语,Sunni Islam / 伊斯兰教（逊尼派）,Hassan I / 哈桑一世,Malé / 马累,Malé / 马累,MDV,South Asia / 南亚,185,0.3,0.08,,B,D,D,C,C,B,C,C,C,,40
Tatars (Mongols) / 鞑靼（蒙古）,1388,1635,Mongol / 蒙古,Middle Mongol / 中古蒙古语,Tengrism / 腾格里教,Jorightu Khan Yesüder / 卓里克图汗,Karakorum / 哈拉和林,Kharkhorin / 哈拉和林,MNG,East Asia / 东亚,247,2800,1.2,,A,B,D,C,C,C,D,C,D,,38
Kara Del / 哈密国,1389,1513,Uyghur / 维吾尔,Chagatai Turkic / 察合台语,Mahayana Buddhism / 佛教（大乘佛教）,Gunashiri / 兀纳失里,Hami / 哈密,Hami / 哈密,CHN,East Asia / 东亚,124,10,0.06,,B,D,D,C,C,C,C,C,C,,37
