Political Entities,Start,End,Ethnic Group,Language,Religion,Founder,Capital,Present Day Location,Code,Region,Duration (year),Area (thousand km2),Population (million),,Duration,Area,Population,Economics,Military,Culture,Technology,Governance,Social,,Overall
Kuru / 俱卢,-1200,-345,Indo-Aryan / 印度-雅利安,Shauraseni Prakrit / 首罗犀那语,Vedism / 吠陀教,Vidhuratha I / 毗杜罗陀一世,Hastinapura / 象城,Hastinapur / 哈斯蒂纳普尔,IND,South Asia / 南亚,855,60,6,,S,D,C,C,C,C,D,C,C,,38
Kingdom of Aram-Damascus / 亚兰大马士革王国,-1150,-732,Aramean / 阿拉姆,Old Aramaic / 古阿拉姆语,West Semitic Polytheism / 西闪米特多神教,Rezon son of Eliada / 利逊,Damascus / 大马士革,Damascus / 大马士革,SYR,West Asia / 西亚,418,30,0.3,,A,D,D,B,B,B,C,C,C,,47
Cedī / 车底,-1150,-250,Indo-Aryan / 印度-雅利安,Shauraseni Prakrit / 首罗犀那语,Vedism / 吠陀教,Chidi /支底,Suktimati / 苏克蒂马提,Banda / 班达,IND,South Asia / 南亚,900,30,2.5,,S,D,D,C,C,C,D,C,C,,36
Yue / 越（诸侯国）,-1100,-306,Baiyue / 百越,Old Yue / 古越语,Chinese Folk Religion / 中国民间信仰,Wuyu / (姒)无余,Kuaiji / 会稽,Shaoxing / 绍兴,CHN,East Asia / 东亚,794,200,1.5,,S,C,D,C,C,B,C,C,C,,44
Panchala / 般遮罗,-1100,-340,Indo-Aryan / 印度-雅利安,Shauraseni Prakrit / 首罗犀那语,Vedism / 吠陀教,Brihadvasu / 布里哈德瓦苏,Kampilya / 㤭赏弥,Kampil / 卡姆皮尔,IND,South Asia / 南亚,760,12,1,,S,D,D,C,C,B,D,C,C,,39
Kingdom of Ammon / 亚扪王国,-1100,-332,Ammonite / 亚扪,Ammonite / 亚扪语,Canaanite Polytheism / 迦南多神教,Getal / 革他勒,Rabbath Ammon / 拉巴特亚扪,Amman / 安曼,JOR,West Asia / 西亚,768,10,0.1,,S,D,D,C,C,C,C,C,C,,39
Anga / 鸯伽,-1100,-530,Indo-Aryan / 印度-雅利安,Magadhi Prakrit / 摩揭陀俗语,Vedism / 吠陀教,Aṅga Vairocana / 鸯伽,Champa / 瞻波,Bhagalpur / 巴加尔布尔,IND,South Asia / 南亚,570,4,0.25,,S,D,D,C,C,C,D,C,C,,36
Wu / 吴（诸侯国）,-1096,-473,Huaxia / 华夏,Old Yue / 古越语,Chinese Folk Religion / 中国民间信仰,Taibo / (姬)泰伯,Gusu / 姑苏,Suzhou / 苏州,CHN,East Asia / 东亚,623,150,1.5,,S,C,D,C,B,B,B,B,B,,53
Twenty-first Dynasty of Egypt / 古埃及（第二十一王朝）,-1077,-943,Ancient Egyptian / 古埃及,Late Egyptian / 新埃及语,Ancient Egyptian Religion / 古埃及宗教,Smendes / 斯门代斯,Tanis / 塔尼斯,Tanis / 塔尼斯,EGY,North Africa / 北非,134,30,1,,B,D,D,C,C,C,C,C,C,,37
Athens / 雅典（城邦）,-1068,-322,Greek / 希腊,Ancient Greek / 古希腊语,Ancient Greek Polytheism / 古希腊多神教,Medon / 墨冬,Athens / 雅典,Athens / 雅典,GRC,South Europe / 南欧,746,4,0.3,,S,D,D,B,B,S,B,A,B,,62
United Kingdom of Israel / 以色列联合王国,-1047,-930,Israelite / 以色列民,Biblical Hebrew / 圣经希伯来语,Yahwism / 雅威教,Saul / 扫罗,Gibeah / 基比亚,Jerusalem / 耶路撒冷,ISR,West Asia / 西亚,117,40,0.5,,B,D,D,C,B,B,C,C,C,,43
Western Zhou / 西周,-1046,-771,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Ji Fa / 姬发,Haojing / 镐京,Xi'an / 西安,CHN,East Asia / 东亚,275,1800,10,,A,B,B,C,B,A,C,A,B,,60
Qi / 齐（诸侯国）,-1046,-221,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Jiang Shang / 姜尚,Linzi / 临淄,Zibo / 淄博,CHN,East Asia / 东亚,825,200,4,,S,C,C,B,B,B,C,A,A,,58
Chu / 楚（诸侯国）,-1046,-223,Jingman / 荆蛮,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Yuxiong / (芈)鬻熊,Ying / (纪)郢,Jingzhou / 荆州,CHN,East Asia / 东亚,823,1500,6,,S,B,C,C,B,B,C,B,B,,54
Chen / 陈（诸侯国）,-1045,-478,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Gui Man / 妫满,Wanqiu / 宛丘,Zhoukou / 周口,CHN,East Asia / 东亚,567,25,0.4,,S,D,D,D,D,C,D,C,C,,30
Cai / 蔡（诸侯国）,-1045,-447,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Shu Du / (姬)蔡叔度,Shangcai / 上蔡,Shangcai / 上蔡,CHN,East Asia / 东亚,598,20,0.3,,S,D,D,D,D,C,D,C,C,,30
Yan / 燕（诸侯国）,-1044,-222,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Ji Shi / 姬奭,Ji / 蓟,Beijing / 北京,CHN,East Asia / 东亚,822,400,2,,S,C,D,C,C,B,C,C,C,,44
Lu / 鲁（诸侯国）,-1043,-256,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Boqin / (姬)伯禽,Qufu / 曲阜,Qufu / 曲阜,CHN,East Asia / 东亚,787,50,0.8,,S,D,D,C,C,A,C,B,B,,48
Jin / 晋（诸侯国）,-1042,-376,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Ji Yu / 姬虞,Tang / 唐,Yicheng / 翼城,CHN,East Asia / 东亚,666,600,5,,S,C,C,C,B,B,C,B,B,,52
Cao / 曹（诸侯国）,-1041,-487,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Zhenduo / (姬)曹叔振铎,Taoqiu / 陶丘,Dingtao / 定陶,CHN,East Asia / 东亚,554,12,0.5,,S,D,D,D,D,C,D,C,C,,30
Wei / 卫（诸侯国）,-1040,-209,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Wei Kangshu / (姬)卫康叔,Diqiu / 帝丘,Puyang / 濮阳,CHN,East Asia / 东亚,831,30,0.5,,S,D,D,D,D,B,D,C,C,,33
Song / 宋（诸侯国）,-1038,-286,Huaxia / 华夏,Old Chinese / 上古汉语,Chinese Folk Religion / 中国民间信仰,Weizi / 子启,Suiyang / 睢阳,Shangqiu / 商丘,CHN,East Asia / 东亚,752,80,1.2,,S,D,D,C,D,B,C,B,B,,42
Kāśī / 迦尸,-1000,-600,Indo-Aryan / 印度-雅利安,Magadhi Prakrit / 摩揭陀俗语,Vedism / 吠陀教,Kshemaka / 㤭尸迦,Kāśī / 波罗奈,Varanasi / 瓦拉纳西,IND,South Asia / 南亚,400,12,1.1,,A,D,D,C,C,B,D,C,C,,38
